backers,category,currency,description,goal,main_category,names,pledged,proj_details,status
75,games|video games,$,Experience a unique adventure in the universe of dreams facing the nightmares that haunt it and return the splendor to Oniria!,40000,games,"ONIRIA ""The Realm of the Three Z"" 3D Action-Platform Game",2096,"
					Backers: 75,
					Funding: $2,096 of $40,000 (,5% funded,),
					Campaign Dates: June 23rd -> July 23rd (2020),
					Closed: Thursday July 23rd, 2020,
				",Cancelled
653,design|product design,£,The kit that turns any used plastic bottle into a beautiful indoor farm,5000,design,Bottle Farm: Grow fresh food on your window,32457,"
					Backers: 653,
					Funding: £32,457 of £5,000 (,649% funded,),
					Campaign Dates: June 23rd -> July 23rd (2020),
					Closed: Thursday July 23rd, 2020,
				",Closed
2,fashion|accessories,$,Luxury Handbags manufactured in Italy.,21000,fashion,The ADIRA Project | Luxury Handmade Leather Handbags,21,"
					Backers: 2,
					Funding: $21 of $21,000 (,0% funded,),
					Campaign Dates: May 26th -> July 23rd (2020),
					Closed: Thursday July 23rd, 2020,
				",Cancelled
87,publishing|calendars,$,The 2021 Genevieve Marie Cosplay Calendar!,3450,publishing,2021 Genevieve Marie Cosplay Calendar!,5657,"
					Backers: 87,
					Funding: $5,657 of $3,450 (,163% funded,),
					Campaign Dates: June 23rd -> July 23rd (2020),
					Closed: Thursday July 23rd, 2020,
				",Closed
2,film & video|shorts,$,A Dark Force,15000,film & video,Masters of Creations,11,"
					Backers: 2,
					Funding: $11 of $15,000 (,0% funded,),
					Campaign Dates: June 23rd -> July 23rd (2020),
					Closed: Thursday July 23rd, 2020,
				",Closed
549,design|product design,$,"A versatile clip, grip, and kickstand for your phone",7500,design,The Westa Clip,18602,"
					Backers: 549,
					Funding: $18,602 of $7,500 (,248% funded,),
					Campaign Dates: June 23rd -> July 23rd (2020),
					Closed: Thursday July 23rd, 2020,
				",Closed
68,photography|people,$,Featuring inspiring images that support the diversity of the yoga community,2500,photography,Sun Salutations is a Yoga Greeting Card Company,3432,"
					Backers: 68,
					Funding: $3,432 of $2,500 (,137% funded,),
					Campaign Dates: June 23rd -> July 23rd (2020),
					Closed: Thursday July 23rd, 2020,
				",Closed
74,art|illustration,£,"Mythical creatures roam the world looking after our environment; meet the Mountain Spirit, Forest Spirit, Celestial Spirit and more!",700,art,Wooden SPIRIT Badge collection,1686,"
					Backers: 74,
					Funding: £1,686 of £700 (,240% funded,),
					Campaign Dates: July 3rd -> July 23rd (2020),
					Closed: Thursday July 23rd, 2020,
				",Closed
361,design|product design,,A design tool that inspires more sketching and champions great user experiences!,,design,Uicard — A Pocket Friendly Wireframing Ruler,,"
					Backers: 361,
					Funding: kr169,141 of kr55,000 (,307% funded,),
					Campaign Dates: June 23rd -> July 23rd (2020),
					Closed: Thursday July 23rd, 2020,
				",Closed
7,art|painting,$,Oil paintings (Scary Stories to Tell in the Dark 'horrorscapes' & Bob Ross-inspired naturescapes),1500,art,Nick Noir Store,326,"
					Backers: 7,
					Funding: $326 of $1,500 (,21% funded,),
					Campaign Dates: June 23rd -> July 23rd (2020),
					Closed: Thursday July 23rd, 2020,
				",Closed
24,technology|gadgets,$,"The better way to touch public buttons, open doors and stay safe",500,technology,Tuff-Key No touch multi purpose tool with leather sleeve,960,"
					Backers: 24,
					Funding: $960 of $500 (,192% funded,),
					Campaign Dates: June 23rd -> July 23rd (2020),
					Closed: Thursday July 23rd, 2020,
				",Closed
235,design|product design,$,"Multifunctional Slim Wallet - RFID blocking technology, cash strap, quick-draw card pocket, sleek design.",1500,design,Tyni Bifold Wallet,7123,"
					Backers: 235,
					Funding: $7,123 of $1,500 (,474% funded,),
					Campaign Dates: June 16th -> July 23rd (2020),
					Closed: Thursday July 23rd, 2020,
				",Closed
637,comics|graphic novels,£,"A drag queen and their LGBTQ+ friends hit the streets to fight homophobia in this queer grindhouse, glitter noir revenge fantasy",8000,comics,Glitter Vipers: A Queer Grindhouse Graphic Novel,11417,"
					Backers: 637,
					Funding: £11,417 of £8,000 (,142% funded,),
					Campaign Dates: June 23rd -> July 23rd (2020),
					Closed: Thursday July 23rd, 2020,
				",Closed
844,design|product design,¥,Face Mask Sterilizer + Dryer + Power Bank,300000,design,maskirei: The Smallest Face Mask Sterilizer and Dryer,5670704,"
					Backers: 844,
					Funding: ¥5,670,704 of ¥300,000 (,1890% funded,),
					Campaign Dates: June 23rd -> July 23rd (2020),
					Closed: Thursday July 23rd, 2020,
				",Closed
235,design|product design,¥,A.A.TH  fiber technology that  100% blind fold environment provides better  quality.,350000,design,The Latest Patented Eye Mask With Better Coverage,1994230,"
					Backers: 235,
					Funding: ¥1,994,230 of ¥350,000 (,569% funded,),
					Campaign Dates: June 18th -> July 23rd (2020),
					Closed: Thursday July 23rd, 2020,
				",Closed
528,publishing|children's books,$,A culinary book for children developed with some of the best chefs in the world.,50000,publishing,Childfood - Recipes for Young Coolinary Explorers,61586,"
					Backers: 528,
					Funding: $61,586 of $50,000 (,123% funded,),
					Campaign Dates: June 16th -> July 23rd (2020),
					Closed: Thursday July 23rd, 2020,
				",Closed
18,film & video|shorts,€,Trilogía de cortometrajes en donde cada cortometraje nos muestra una visión diferente de la relación entre Joaquín e Irene.,650,film & video,"""Him, Her & Us"" una pareja en corto",751,"
					Backers: 18,
					Funding: €751 of €650 (,115% funded,),
					Campaign Dates: June 18th -> July 23rd (2020),
					Closed: Thursday July 23rd, 2020,
				",Closed
130,games|tabletop games,£,A semi-asymmetric 2 player card game about time travel and assassinations,12500,games,ChronoConflict: The Card Game,4553,"
					Backers: 130,
					Funding: £4,553 of £12,500 (,36% funded,),
					Campaign Dates: June 5th -> July 23rd (2020),
					Closed: Thursday July 23rd, 2020,
				",Closed
35,,£,Effie is a new domestic appliance that irons your clothes for you. Just hang your clothes up straight from the washing machine...,100000,technology,Effie: Never Iron Again,16314,"
					Backers: 35,
					Funding: £16,314 of £100,000 (,16% funded,),
					Campaign Dates: July 3rd -> July 23rd (2020),
					Closed: Thursday July 23rd, 2020,
				",Closed
344,games|tabletop games,$,Handmade Dice using Cat's Eye Stone - Affordable and Stylish for your next Dungeons and Dragons or Pathfinder game.,3000,games,Dawn and Dusk Dice - Cat's Eye Stone Dice for Tabletop Games,50146,"
					Backers: 344,
					Funding: $50,146 of $3,000 (,1671% funded,),
					Campaign Dates: June 23rd -> July 23rd (2020),
					Closed: Thursday July 23rd, 2020,
				",Closed
29,art|illustration,€,Super cute Enamel Pins and Keychains about Adorable Celestial Creatures ♥,300,art,Cute Celestial Creatures Enamel Pin Collection ♥,776,"
					Backers: 29,
					Funding: €776 of €300 (,258% funded,),
					Campaign Dates: July 3rd -> July 23rd (2020),
					Closed: Thursday July 23rd, 2020,
				",Closed
109,crafts|stationery,£,Help us launch these gorgeous new notebooks decorated with Sandra Vick's designs.,17000,crafts,A Sandra Vick Notebook : designed by an artist for everyone,5229,"
					Backers: 109,
					Funding: £5,229 of £17,000 (,30% funded,),
					Campaign Dates: June 25th -> July 23rd (2020),
					Closed: Thursday July 23rd, 2020,
				",Closed
72,,$,IndieGrow is the home garden on wheels that helps people with limited space and time grow BIG JUICY FRUITS AND VEGGIES in a small area.,20000,food,IndieGrow - It's Time to Re-Think Growing Your Own Food,11119,"
					Backers: 72,
					Funding: $11,119 of $20,000 (,55% funded,),
					Campaign Dates: June 23rd -> July 23rd (2020),
					Closed: Thursday July 23rd, 2020,
				",Closed
2181,games|video games,£,A low-poly 3D rail shooter inspired by the classics of the early 90's.,20000,games,Ex-Zodiac,50037,"
					Backers: 2181,
					Funding: £50,037 of £20,000 (,250% funded,),
					Campaign Dates: June 23rd -> July 23rd (2020),
					Closed: Thursday July 23rd, 2020,
				",Closed
25,,$,Let your spirit fly.,1200,art,Pride Butterfly Enamel Pins,488,"
					Backers: 25,
					Funding: $488 of $1,200 (,40% funded,),
					Campaign Dates: June 23rd -> July 23rd (2020),
					Closed: Thursday July 23rd, 2020,
				",Closed
190,publishing|art books,$,"A collection of sketches, commissions, and original drawings from artist Melissa Capriglione.",3500,publishing,Stellaria: A Sketchbook by Melissa Capriglione,5627,"
					Backers: 190,
					Funding: $5,627 of $3,500 (,160% funded,),
					Campaign Dates: June 25th -> July 23rd (2020),
					Closed: Thursday July 23rd, 2020,
				",Closed
57,games|video games,$,"A unique SNG game where customized content (Character, Island, Building, Item, Quest, Story) can be shared or traded with other players",5000,games,BLOCKTOPIA: Player-Customizable Sandbox online RPG Game,3383,"
					Backers: 57,
					Funding: $3,383 of $5,000 (,67% funded,),
					Campaign Dates: June 23rd -> July 23rd (2020),
					Closed: Thursday July 23rd, 2020,
				",Cancelled
5,games|video games,€,An action-adventure game with RPG elements in dark style. Explore New York of 1927-1928 and make the difference.,10000,games,Danza con feroci,191,"
					Backers: 5,
					Funding: €191 of €10,000 (,1% funded,),
					Campaign Dates: June 23rd -> July 23rd (2020),
					Closed: Thursday July 23rd, 2020,
				",Closed
502,design|product design,$,"Feel the sensation of flying above water. Waydoo Flyer ONE is not dependent on wind or waves, so you can ride anywhere, anytime.",50000,design,Waydoo Flyer ONE - Innovative eFoil Redefining Watersports,2357029,"
					Backers: 502,
					Funding: $2,357,029 of $50,000 (,4714% funded,),
					Campaign Dates: June 16th -> July 23rd (2020),
					Closed: Thursday July 23rd, 2020,
				",Closed
244,design|product design,$,"Qapla' 
Open your blood wine bottles like a true Klingon warrior",650,design,Bat'leth bottle opener (Bot'leth),7471,"
					Backers: 244,
					Funding: $7,471 of $650 (,1149% funded,),
					Campaign Dates: June 8th -> July 23rd (2020),
					Closed: Thursday July 23rd, 2020,
				",Closed
6,food|farms,$,An Educational Homestead for families to learn how to grow their own food and live a healthier lifestyle,3000,food,Homesteading - How to get started,241,"
					Backers: 6,
					Funding: $241 of $3,000 (,8% funded,),
					Campaign Dates: July 9th -> July 23rd (2020),
					Closed: Thursday July 23rd, 2020,
				",Closed
48,publishing|zines,£,A magazine dedicated to showcasing the short fiction and poetry of woking class writers.,1300,publishing,Creeping Expansion Magazine Issue 1,1389,"
					Backers: 48,
					Funding: £1,389 of £1,300 (,106% funded,),
					Campaign Dates: July 2nd -> July 23rd (2020),
					Closed: Thursday July 23rd, 2020,
				",Closed
117,art|illustration,$,A collection of cute and sweet cat pins,600,art,Dessert Cats Enamel Pins,5982,"
					Backers: 117,
					Funding: $5,982 of $600 (,997% funded,),
					Campaign Dates: June 23rd -> July 23rd (2020),
					Closed: Thursday July 23rd, 2020,
				",Closed
25,,£,Oasis Knebworth 96,12000,publishing,“Good Evening Planet Earth” Oasis Knebworth 96,1036,"
					Backers: 25,
					Funding: £1,036 of £12,000 (,8% funded,),
					Campaign Dates: June 23rd -> July 23rd (2020),
					Closed: Thursday July 23rd, 2020,
				",Closed
38,design|product design,,| Keep Pets Fit & Healthy | Built-in Scale & Display | Activity & Calorie Monitoring | GPS Tracking & e-fence | for Cats & dogs |,,design,Petbiz Healthkit: a Smart Bowl & Pet Wearable,,"
					Backers: 38,
					Funding: HK$39,296 of HK$50,000 (,78% funded,),
					Campaign Dates: June 22nd -> July 23rd (2020),
					Closed: Thursday July 23rd, 2020,
				",Cancelled
142,publishing|poetry,€,"""La Calma Después de mi Tormenta"" es un poemario ilustrado donde cuento sin edulcorar mi idilio con el amor, la ansiedad y la depresión",1500,publishing,"""La Calma Después de mi Tormenta"", de Javi Guillamón.",2202,"
					Backers: 142,
					Funding: €2,202 of €1,500 (,146% funded,),
					Campaign Dates: May 24th -> July 23rd (2020),
					Closed: Thursday July 23rd, 2020,
				",Closed
6,,,"One beautiful sports & action photo book + one inspiring book for Your personal growth!
All for the price of one!",,publishing,The Goals Images books.,,"
					Backers: 6,
					Funding: kr2,535 of kr800,000 (,0% funded,),
					Campaign Dates: July 2nd -> July 23rd (2020),
					Closed: Thursday July 23rd, 2020,
				",Cancelled
4567,games|tabletop games,€,"Get behind the wheel and race against the clock as you drift, slide, jump and push your luck through your own high-octane Rally!",20000,games,Rallyman: DIRT,387919,"
					Backers: 4567,
					Funding: €387,919 of €20,000 (,1939% funded,),
					Campaign Dates: July 2nd -> July 23rd (2020),
					Closed: Thursday July 23rd, 2020,
				",Closed
34,,$,Unusual handmade jewelry with a vintage steampunk techno vibe.,900,design,Unique Funky Jewelry Featuring Vintage Watch Mechanisms,1376,"
					Backers: 34,
					Funding: $1,376 of $900 (,152% funded,),
					Campaign Dates: June 25th -> July 23rd (2020),
					Closed: Thursday July 23rd, 2020,
				",Closed
84,film & video|shorts,$,"A story about a black family as they take a camping road trip for the first time. Proposing a new, diverse future for all of us.",23000,film & video,Hazard,25668,"
					Backers: 84,
					Funding: $25,668 of $23,000 (,111% funded,),
					Campaign Dates: June 23rd -> July 23rd (2020),
					Closed: Thursday July 23rd, 2020,
				",Closed
188,publishing|nonfiction,£,A collection of 60 powerful stories by men talking openly about a range of mental health conditions & advice for other men struggling.,5415,publishing,'Big Boys Don't Cry?' - Men's Mental Health Book,6296,"
					Backers: 188,
					Funding: £6,296 of £5,415 (,116% funded,),
					Campaign Dates: May 28th -> July 23rd (2020),
					Closed: Thursday July 23rd, 2020,
				",Closed
362,games|tabletop games,$,A strange roleplaying game set in a small American town during World War II.,1000,games,Fairview,8767,"
					Backers: 362,
					Funding: $8,767 of $1,000 (,876% funded,),
					Campaign Dates: July 8th -> July 23rd (2020),
					Closed: Thursday July 23rd, 2020,
				",Closed
71,technology|apps,$,"Marketplace where buyers can negotiate price, online, in real time, 24/7,in privacy, 1:1 and secure",50000,technology,4Kommerce Marketplace: Love it! buy it for a better price.,4111,"
					Backers: 71,
					Funding: $4,111 of $50,000 (,8% funded,),
					Campaign Dates: June 23rd -> July 23rd (2020),
					Closed: Thursday July 23rd, 2020,
				",Closed
210,comics|comic books,$,"Exciting first three issues of America's FIRST superhero and his adventures, set in New York City during the 1900s!",2000,comics,American Dreams Issues 1 - 3 (Ongoing Comic Series),5385,"
					Backers: 210,
					Funding: $5,385 of $2,000 (,269% funded,),
					Campaign Dates: June 23rd -> July 23rd (2020),
					Closed: Thursday July 23rd, 2020,
				",Closed
105,games|video games,$,"UNDERCAT is a retro-styled, non-linear 2D action platformer you can play with friends or frenemies in optional co-op and PvP play.",15000,games,UNDERCAT,3929,"
					Backers: 105,
					Funding: $3,929 of $15,000 (,26% funded,),
					Campaign Dates: June 23rd -> July 23rd (2020),
					Closed: Thursday July 23rd, 2020,
				",Cancelled
13,food|restaurants,$,Drink healthy and sustainable organic coffee while helping the communities to prosper through education and empowerment.,5500,food,Buy Coffee! Help women and children around the world!,356,"
					Backers: 13,
					Funding: $356 of $5,500 (,6% funded,),
					Campaign Dates: June 18th -> July 23rd (2020),
					Closed: Thursday July 23rd, 2020,
				",Closed
778,games|video games,$,Classic pixel-art survival horror set during WW1.,30000,games,CONSCRIPT - WW1 SURVIVAL HORROR,39660,"
					Backers: 778,
					Funding: $39,660 of $30,000 (,132% funded,),
					Campaign Dates: June 16th -> July 23rd (2020),
					Closed: Thursday July 23rd, 2020,
				",Closed
17,games|tabletop games,£,"A frantic and wacky board game where you race against your friends, and the tides could turn at any moment.",7500,games,Madcap Marathon,760,"
					Backers: 17,
					Funding: £760 of £7,500 (,10% funded,),
					Campaign Dates: June 23rd -> July 23rd (2020),
					Closed: Thursday July 23rd, 2020,
				",Closed
62,technology|apps,$,An on-demand local services app. Users post custom jobs at the price they want to pay and providers send offers to fulfill them.,20000,technology,"Flexr: Hire local help, find work - or both!",20430,"
					Backers: 62,
					Funding: $20,430 of $20,000 (,102% funded,),
					Campaign Dates: June 17th -> July 23rd (2020),
					Closed: Thursday July 23rd, 2020,
				",Closed
35,,$,"Limited edition large archival art prints of original painting ""Sylph"".",350,art,Sylph: Art Prints by Madalyn McLeod,1668,"
					Backers: 35,
					Funding: $1,668 of $350 (,476% funded,),
					Campaign Dates: June 23rd -> July 23rd (2020),
					Closed: Thursday July 23rd, 2020,
				",Closed
2,technology|gadgets,$,Portable wireless phone charger with a variety of covers,100000,technology,Phone Wireless Charger,26,"
					Backers: 2,
					Funding: $26 of $100,000 (,0% funded,),
					Campaign Dates: June 8th -> July 23rd (2020),
					Closed: Thursday July 23rd, 2020,
				",Closed
5,,$,A child left to struggle and starve in a hellish enviornment has found a way against all possible odds to find enough crumbs to survive,5000,publishing,Hunger: A book abour survival and motivation,555,"
					Backers: 5,
					Funding: $555 of $5,000 (,11% funded,),
					Campaign Dates: June 23rd -> July 23rd (2020),
					Closed: Thursday July 23rd, 2020,
				",Closed
45,,$,Encourage your community to MAKE THE CHANGE and VOTE with a window sign featuring a PSYCHEDELIC BUTTERFLY and national voter resources!,313,publishing,SIGNS OF CHANGE: Retro Psychedelic Butterfly VOTE Poster,1082,"
					Backers: 45,
					Funding: $1,082 of $313 (,345% funded,),
					Campaign Dates: July 13th -> July 23rd (2020),
					Closed: Thursday July 23rd, 2020,
				",Closed
594,comics|graphic novels,$,A disgraced detective. A bad boy lover. A mysterious femme fatale. And lurking in the heart of 1940s Los Angeles… a primeval horror!,15000,comics,DASH: The Gay Noir Graphic Novel,20451,"
					Backers: 594,
					Funding: $20,451 of $15,000 (,136% funded,),
					Campaign Dates: June 23rd -> July 23rd (2020),
					Closed: Thursday July 23rd, 2020,
				",Closed
47,games|tabletop games,$,"Medieval Champion is a fast paced dueling card game for 2-4 players. Defeat your opponents with combat, magic, treasure and trickery!",500,games,Medieval Champion - Extended Halloween Expansion,1213,"
					Backers: 47,
					Funding: $1,213 of $500 (,242% funded,),
					Campaign Dates: May 28th -> July 23rd (2020),
					Closed: Thursday July 23rd, 2020,
				",Closed
3,fashion|accessories,£,Handmade and handcrafted jewellery.,300,fashion,SVANNA APPAREL,10,"
					Backers: 3,
					Funding: £10 of £300 (,3% funded,),
					Campaign Dates: June 23rd -> July 23rd (2020),
					Closed: Thursday July 23rd, 2020,
				",Closed
86,art|illustration,£,A fine art print of a hummingbird original painting. Painted using inks teas and alcohols by artist Carne Griffiths on handmade paper.,200,art,"1000bpm, hummingbird fine art print, Ltd edition of 100",4446,"
					Backers: 86,
					Funding: £4,446 of £200 (,2223% funded,),
					Campaign Dates: July 16th -> July 23rd (2020),
					Closed: Thursday July 23rd, 2020,
				",Closed
1569,film & video|documentary,$,A stunning documentary on the Latin Mass. Investigates the connection between worship and belief with real stories & expert interviews.,77700,film & video,Mass of the Ages — How Tradition Will Restore the Church,169392,"
					Backers: 1569,
					Funding: $169,392 of $77,700 (,218% funded,),
					Campaign Dates: June 16th -> July 23rd (2020),
					Closed: Thursday July 23rd, 2020,
				",Closed
144,technology|diy electronics,$,"FireBox is a small, cheap, and extensible DCC controller that lets you run your trains the way YOU want to!",2500,technology,FireBox: A Tiny DCC Train Controller,10534,"
					Backers: 144,
					Funding: $10,534 of $2,500 (,421% funded,),
					Campaign Dates: June 17th -> July 23rd (2020),
					Closed: Thursday July 23rd, 2020,
				",Closed
201,games|tabletop games,$,"Avast ye! Race to complete your ship while sabotaging opponents in this light strategy, fast-paced ship-building game.",9500,games,Yarr Harr!,6156,"
					Backers: 201,
					Funding: $6,156 of $9,500 (,64% funded,),
					Campaign Dates: June 23rd -> July 23rd (2020),
					Closed: Thursday July 23rd, 2020,
				",Closed
56,,$,"Zber is a totally new family-friendly, outdoor, day or night-time game.  So new that it is protected by two patents.",5000,games,Zber,6267,"
					Backers: 56,
					Funding: $6,267 of $5,000 (,125% funded,),
					Campaign Dates: June 25th -> July 23rd (2020),
					Closed: Thursday July 23rd, 2020,
				",Closed
1851,games|tabletop games,€,A worker placement game in a universe mixing Greek mythology and steampunk.,40000,games,Hybris - Disordered Cosmos,158631,"
					Backers: 1851,
					Funding: €158,631 of €40,000 (,396% funded,),
					Campaign Dates: June 30th -> July 23rd (2020),
					Closed: Thursday July 23rd, 2020,
				",Closed
17,food|drinks,$,"nutrition shot is a 2oz shot with all-natural lemon, ginger, and turmeric.",500,food,Nutrition Shot: Immune booster shot,828,"
					Backers: 17,
					Funding: $828 of $500 (,165% funded,),
					Campaign Dates: June 18th -> July 23rd (2020),
					Closed: Thursday July 23rd, 2020,
				",Closed
841,games|tabletop games,,"Epic narrative adventure board game for 1-4 players. Explore the map, encounter monsters and save the day!",,games,"Unlikely Heroes: Vikings, Cowboys & Pharaohs",,"
					Backers: 841,
					Funding: kr367,794 of kr10,000 (,3677% funded,),
					Campaign Dates: June 23rd -> July 23rd (2020),
					Closed: Thursday July 23rd, 2020,
				",Closed
99,games|tabletop games,£,Tau-Style Scenery STL Files,100,games,3D Printable Xeno Terrain No I,1352,"
					Backers: 99,
					Funding: £1,352 of £100 (,1352% funded,),
					Campaign Dates: July 2nd -> July 23rd (2020),
					Closed: Thursday July 23rd, 2020,
				",Closed
6,technology|web,$,Soulivity Magazine is an online magazine and journal; it is to be a valued resource for people from all walks around the world.,100000,technology,Soulivity Magazine...Passion. Purpose. Living,1270,"
					Backers: 6,
					Funding: $1,270 of $100,000 (,1% funded,),
					Campaign Dates: June 8th -> July 23rd (2020),
					Closed: Thursday July 23rd, 2020,
				",Closed
1525,design|product design,$,"Mark Two is a custom machined, all-metal pocket pen small enough to take with you, but extends to a full length when in use.",50000,design,Mark Two: A Minimal and Durable Pocket Pen,159654,"
					Backers: 1525,
					Funding: $159,654 of $50,000 (,319% funded,),
					Campaign Dates: June 23rd -> July 23rd (2020),
					Closed: Thursday July 23rd, 2020,
				",Closed
160,games|playing cards,$,Morgan le Fay. Merlin's Bane. King Arthur's Doom. Sorcery & Seduction. Exquisite Playing Cards by Master Artist Dent-de-Lion du Midi.,7300,games,MORGANA • Illuminations | Art Playing Cards | USPCC,13674,"
					Backers: 160,
					Funding: $13,674 of $7,300 (,187% funded,),
					Campaign Dates: July 13th -> July 23rd (2020),
					Closed: Thursday July 23rd, 2020,
				",Closed
2,music|hip-hop,$,For my dedicated supporters who want to help push my music to more listeners in order to reach more people.,2500,music,"Early access to ""Fortified"" EP, Music Videos & Other Content",26,"
					Backers: 2,
					Funding: $26 of $2,500 (,1% funded,),
					Campaign Dates: June 23rd -> July 23rd (2020),
					Closed: Thursday July 23rd, 2020,
				",Closed
61,journalism|audio,$,A scripted podcast for Christmas and Easter as if modern media and social media existed in 1st Century Rome and Judea.,16700,journalism,TOP STORY TONIGHT: JESUS!,17492,"
					Backers: 61,
					Funding: $17,492 of $16,700 (,104% funded,),
					Campaign Dates: June 23rd -> July 23rd (2020),
					Closed: Thursday July 23rd, 2020,
				",Closed
21,,$,Sprinkle Unicorn is a new kind of Plush Toy with a Surprise Collectible Charm hidden inside. Press the Tummy to get the Yummy!,5600,design,Sprinkle Unicorn: Plush Toy with Surprise Collectible Charms,1368,"
					Backers: 21,
					Funding: $1,368 of $5,600 (,24% funded,),
					Campaign Dates: June 24th -> July 23rd (2020),
					Closed: Thursday July 23rd, 2020,
				",Cancelled
10,,$,"Because thinking people have better sex.
The mind is the most powerful sex organ we have and yet it is wholly omitted in Sex Ed.",5200,publishing,Dick and Jane: A Thinking Person's Sex Ed Book,716,"
					Backers: 10,
					Funding: $716 of $5,200 (,13% funded,),
					Campaign Dates: July 9th -> July 23rd (2020),
					Closed: Thursday July 23rd, 2020,
				",Cancelled
86,,€,Improve the quality of your art by learning how to simplify the process of drawing faces and anatomy!,100,comics,How to kill the fear of drawing: faces and anatomy (2nd run),3251,"
					Backers: 86,
					Funding: €3,251 of €100 (,3251% funded,),
					Campaign Dates: July 3rd -> July 23rd (2020),
					Closed: Thursday July 23rd, 2020,
				",Closed
22,art|digital art,€,A gold detailed glitter loaded Green Ranger enamel pin !,800,art,Mighty Green Ranger Enamel Pin,321,"
					Backers: 22,
					Funding: €321 of €800 (,40% funded,),
					Campaign Dates: June 23rd -> July 23rd (2020),
					Closed: Thursday July 23rd, 2020,
				",Closed
11,publishing|fiction,$,"Tollard's Peak (Glimmer Vale Chronicles #3) - fun, action-packed sword and sorcery adventure.",800,publishing,Let's Make An Audiobook!,167,"
					Backers: 11,
					Funding: $167 of $800 (,20% funded,),
					Campaign Dates: June 23rd -> July 23rd (2020),
					Closed: Thursday July 23rd, 2020,
				",Closed
8,technology|web,$,"ProtoPlay is a fully private, transparent, and monetizable video & image sharing platform. Be part of the future!",10000,technology,ProtoPlay - The Premier Social Media,396,"
					Backers: 8,
					Funding: $396 of $10,000 (,3% funded,),
					Campaign Dates: June 22nd -> July 23rd (2020),
					Closed: Thursday July 23rd, 2020,
				",Closed
